Feature / scenario,Official doc/source URL,Official supported platform and eligibility,"Preconditions: account plan, workspace policy, region, plugin install, browser/profile, GitHub/gh, network mode","Actual macOS reference status and evidence, or docs-only oracle",Linux wrapper status and evidence,Parity verdict,Risk/gate,Owner,Cleanup/rollback evidence
Startup/window/render/version pins,https://developers.openai.com/codex/app,macOS/Windows app; Linux not officially supported,Installed app; signed-in or sign-in screen; version pin,docs-only oracle; macOS evidence pending,"Seed PASS: renderer mounted, ready message handled, app-server handshake, version 26.616.41845/Electron 42.1.0 in reports/final-validation.md and latest-upgrade-summary.json",PASS,None beyond no source edits,Lane B,App termination/smoke cleanup pending Lane B; safe evidence captured in lane B/C artifacts
Account readiness / existing signed-in session,https://developers.openai.com/codex/app,ChatGPT Plus/Pro/Business/Edu/Enterprise or API key; features may differ by auth type,Existing non-sensitive account session; no fresh login unless approved,docs-only oracle; macOS evidence pending,Seed PASS: account/read succeeded for existing signed-in chatgpt user in reports/final-validation.md and interactive-qa-summary.json,PASS,No sensitive account changes; fresh login untested,Lane B,No account mutation expected; safe evidence captured in lane B/C artifacts
Fresh sign-in / unauthenticated login,https://developers.openai.com/codex/app,macOS/Windows supported; ChatGPT or API-key sign-in,Disposable account/profile and no sensitive websites,docs-only oracle; macOS evidence pending,GATED_NOT_RUN: clean login would require logout/credential flow; existing account session tested separately,GATED,Sensitive account/login gate,Lane B,No login cleanup because not run; explicit G002 disposition in remaining/blocker-dispositions.json
Project selection / file dialog,https://developers.openai.com/codex/app,macOS/Windows; project folder sandbox boundary,Disposable local directory; portal/file dialog safe path only,docs-only oracle; macOS evidence pending,Clicking Project/Work in a project via CDP produced no visible picker; earlier menu-only evidence remains partial,FAIL,File-dialog path exposure; disposable directory only,Lane B,Disposable project removal pending if exercised; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json
Basic local chat in project,https://developers.openai.com/codex/app,macOS/Windows; Local mode works on computer,Existing account; harmless prompt; no code edits outside fixture,docs-only oracle; macOS evidence pending,Seed PASS: controlled prompt returned codex-linux-qa-ok; no inputSchema error,PASS,No risky action,Lane B,Thread/log artifact only; safe evidence captured in lane B/C artifacts
Multitask / multi-chat / chat search,https://developers.openai.com/codex/app/features#multitask-across-projects,macOS/Windows; app manages multiple threads/projects,Existing account; synthetic prompts,docs-only oracle; macOS evidence pending,PASS for chat search; multi-chat depth remains partial/not fully expanded,PARTIAL,No risky action,Lane B,Thread cleanup optional
Local mode harmless terminal/action approval,https://developers.openai.com/codex/app/features#integrated-terminal,macOS/Windows; terminal scoped to current project/worktree,Harmless command only; approval deny/cancel observed where safe,docs-only oracle; macOS evidence pending,Seed PASS: echo codex-linux-shell-ok ran; deny/cancel behavior pending Lane B,PASS,Approval/sandbox boundary; no destructive commands,Lane B,Terminal transcript artifact; safe evidence captured in lane B/C artifacts
Sandbox/project-root boundaries,https://developers.openai.com/codex/app/features#approvals-and-sandboxing,macOS/Windows; sandbox scopes work to project,Disposable project; no sensitive paths,docs-only oracle; macOS evidence pending,Seed UNTESTED for explicit boundary probes,UNTESTED,Avoid access to private paths,Lane C,Boundary probe cleanup pending
Settings harmless toggle and restart persistence,https://developers.openai.com/codex/app/settings,macOS/Windows settings UI,Only harmless setting; restart app safely,docs-only oracle; macOS evidence pending,Settings panel did not open via CDP; restart persistence not testable in app UI,FAIL,Restart may disrupt active workers; coordinate,Lane B,Restore original setting if changed; remaining QA evidence in evidence/mac-parity-qa-20260620/remaining/ui-surface-results.json; explicit G002 disposition in remaining/blocker-dispositions.json
"Sidebar, sources, task summaries, generated artifact preview",https://developers.openai.com/codex/app/features#richer-outputs-and-artifacts,macOS/Windows,Synthetic artifact or existing generated file,docs-only oracle; macOS evidence pending,UNTESTED_BLOCKED: no safe generated artifact workflow completed; add-files menu present but picker/upload not exercised,UNTESTED,No sensitive file previews,Lane B,Remove synthetic files; explicit G002 disposition in remaining/blocker-dispositions.json
